engine_id,cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21
1,1,0.0,-0.0007,100.0,518.67,641.82,1589.70,1400.60,14.62,21.61,554.36,2388.06,9046.19,1.30,47.47,521.66,2388.02,8141.50,8.4195,0.03,392,2388,100.00,39.06,23.4190
1,2,0.0,0.0019,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.95,2388.04,9044.26,1.30,47.49,522.28,2388.09,8142.65,8.4318,0.03,392,2388,100.00,39.00,23.4236
1,3,0.0,-0.0043,100.0,518.67,642.35,1587.99,1404.98,14.62,21.61,554.69,2388.08,9052.94,1.30,47.27,522.42,2388.14,8133.23,8.4178,0.03,390,2388,100.00,38.95,23.3442
1,4,0.0,0.0007,100.0,518.67,642.35,1588.64,1401.87,14.62,21.61,554.64,2388.11,9049.48,1.30,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100.00,38.88,23.3739
1,5,0.0,-0.0019,100.0,518.67,642.37,1589.24,1406.22,14.62,21.61,554.61,2388.06,9055.15,1.30,47.28,522.19,2388.04,8133.80,8.4294,0.03,393,2388,100.00,38.90,23.4044
1,6,0.0,0.0016,100.0,518.67,642.48,1588.78,1401.10,14.62,21.61,554.72,2388.05,9049.68,1.30,47.16,521.68,2388.03,8132.85,8.4108,0.03,393,2388,100.00,38.98,23.3669
1,7,0.0,-0.0034,100.0,518.67,642.52,1589.16,1402.47,14.62,21.61,554.29,2388.08,9054.06,1.30,47.36,522.34,2388.08,8135.34,8.4017,0.03,393,2388,100.00,38.86,23.3774
1,8,0.0,0.0010,100.0,518.67,642.59,1588.49,1403.95,14.62,21.61,554.53,2388.04,9050.98,1.30,47.24,522.07,2388.08,8137.07,8.3935,0.03,391,2388,100.00,38.91,23.3746
1,9,0.0,0.0005,100.0,518.67,642.62,1589.89,1400.72,14.62,21.61,554.21,2388.02,9056.48,1.30,47.17,522.57,2388.07,8131.31,8.4027,0.03,392,2388,100.00,38.93,23.4018
1,10,0.0,-0.0013,100.0,518.67,642.67,1588.86,1402.85,14.62,21.61,554.28,2388.04,9054.11,1.30,47.20,521.87,2388.04,8133.74,8.4173,0.03,393,2388,100.00,38.88,23.3784
1,11,0.0,0.0024,100.0,518.67,642.79,1590.51,1404.06,14.62,21.61,554.48,2388.08,9051.94,1.30,47.30,522.43,2388.05,8138.35,8.4222,0.03,392,2388,100.00,38.95,23.3581
1,12,0.0,0.0002,100.0,518.67,642.87,1589.99,1402.21,14.62,21.61,554.31,2388.05,9053.73,1.30,47.28,522.34,2388.08,8130.98,8.4247,0.03,393,2388,100.00,38.89,23.3822
1,13,0.0,-0.0015,100.0,518.67,642.88,1589.57,1402.82,14.62,21.61,554.41,2388.07,9053.07,1.30,47.27,522.79,2388.04,8133.07,8.4141,0.03,393,2388,100.00,38.92,23.3914
1,14,0.0,0.0020,100.0,518.67,643.01,1589.68,1402.42,14.62,21.61,554.37,2388.05,9052.71,1.30,47.24,522.24,2388.09,8135.42,8.4100,0.03,393,2388,100.00,38.89,23.3671
1,15,0.0,-0.0020,100.0,518.67,643.08,1589.64,1404.64,14.62,21.61,554.42,2388.03,9052.16,1.30,47.31,522.86,2388.04,8136.24,8.4154,0.03,393,2388,100.00,38.88,23.3706
1,16,0.0,0.0009,100.0,518.67,643.12,1588.91,1403.10,14.62,21.61,554.25,2388.05,9052.28,1.30,47.28,522.60,2388.06,8134.87,8.4071,0.03,392,2388,100.00,38.86,23.3811
1,17,0.0,-0.0033,100.0,518.67,643.15,1589.04,1403.93,14.62,21.61,554.36,2388.09,9053.42,1.30,47.22,522.07,2388.04,8134.00,8.4163,0.03,393,2388,100.00,38.91,23.3685
1,18,0.0,0.0014,100.0,518.67,643.23,1589.90,1403.44,14.62,21.61,554.41,2388.08,9052.72,1.30,47.35,522.71,2388.08,8133.86,8.4241,0.03,393,2388,100.00,38.89,23.3837
1,19,0.0,-0.0005,100.0,518.67,643.28,1589.44,1402.23,14.62,21.61,554.38,2388.07,9053.66,1.30,47.26,522.64,2388.02,8131.34,8.4127,0.03,393,2388,100.00,38.92,23.3754
1,20,0.0,0.0015,100.0,518.67,643.33,1589.87,1403.85,14.62,21.61,554.23,2388.04,9052.70,1.30,47.30,522.27,2388.05,8134.71,8.4159,0.03,393,2388,100.00,38.90,23.3660
